Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
330;312;198.0;317843.524;5690999.666;E. Twietmeyer;E. Twietmeyer, Inh.in: Ww. Anna Twietmeyer;1598d;1024B;;14;Gellertstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Littstraße;0;4103.0;1589d;0.0;Mitte;1.0;Zentrum-Ost;
331;313;198.0;317843.524;5690999.666;A. Twietmeyer;A. Twietmeyer, Inh.in: Ww. Anna Twietmeyer;1598d;1024B;;14;Gellertstraße;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Littstraße;0;4103.0;1589d;0.0;Mitte;1.0;Zentrum-Ost;
332;314;199.0;317831.75;5691023.08;Max Rübe;Rübe, Max;1589b/1589c;1023D/1023C;Spamers Hof;7-9;Gellertstraße;;Alt-Leipzig;ausländische Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Littstraße;7/9;4103.0;1589c;0.0;Mitte;1.0;Zentrum-Ost;
333;1508;199.0;317831.75;5691023.08;Julius Süß jun.;Julius Süß jun.;1589b/1589c;1023D/1023C;Spamers Hof;7-9;Gellertstraße;;Alt-Leipzig;Buch- und Steindruckerei;Druckerei und Buchhandel;Littstraße;7/9;4103.0;1589c;0.0;Mitte;1.0;Zentrum-Ost;
334;1660;199.0;317831.75;5691023.08;H. H. Ullstein;H. H. Ullstein, Papier, Inh. minor. Hans Faust (ausw.) Vertr. Arno Hübler;1589b/1589c;1023D/1023C;Spamers Hof;7-9;Gellertstraße;;Alt-Leipzig;Papierfabrik;Papierhandlung/Papierherstellung;Littstraße;7/9;4103.0;1589c;0.0;Mitte;1.0;Zentrum-Ost;
335;1871;199.0;317831.75;5691023.08;Ernst Rudolph Müller;Ernst Rudolph Müller, Inh.: Ernst Rudolp Müller u. Arthur Frenzel;1589b/1589c;1023D/1023C;Spamers Hof;7-9;Gellertstraße;;Alt-Leipzig;Fachgeschäft f. d. graph. Gewerbe;Zuliefer- und Hilfsgewerbe;Littstraße;7/9;4103.0;1589c;0.0;Mitte;1.0;Zentrum-Ost;
336;967;200.0;318769.360899999;5690844.56049999;August Hoffmann;August Hoffmann, Inh.: Dr. Rienhold Hoffmann;130;158;;5;Gemeindestraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Klasingstraße;5;4315.0;130;2.0;Ost;20.0;Neustadt-Neuschönefeld;
337;315;201.0;317783.331;5690957.255;W. Vobach & Co.;W. Vobach & Co., Pers. haft. Ges.: Willy Vohbach (Zehlendorf) u. Oscar de Liagre;276c;298B;;9;Breitkopfstraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Georgiring;0;4103.0;4566;0.0;Mitte;1.0;Zentrum-Ost;
338;315;201.0;317783.331;5690957.255;W. Vobach & Co.;W. Vobach & Co., Pers. haft. Ges.: Willy Vohbach (Zehlendorf) u. Oscar de Liagre;1580g;1013N;;5e;Georgiring;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georgiring;0;4103.0;4566;0.0;Mitte;1.0;Zentrum-Ost;
339;316;202.0;317698.665;5691339.711;Vereinigter Leipziger Bahnhofsbuchhandel;Vereinigter Leipziger Bahnhofsbuchhandel, G.m.b.H.;1889;1250/1250B;Hauptbahnhof;14;Georgiring;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Georgiring;0;4103.0;1890/1;0.0;Mitte;1.0;Zentrum-Ost;
