Id;Firma;idn
2089;Leipziger Monatsschrift für Textil-Industrie, Theodor Martin;[]
2090;Der Textil-Exporteur, Theodor Martin;[]
2091;Die Textil-Industrie, Theodor Martin;[]
2092;Die Textil-Zeitung,Theodor Martin;[]
2093;Wochenschrift für Spinnerei u. Weberei, Theodor Martin;[]
2094;Zeitschrift für die Textil-Industrie, Theodor Martin;[]
2095;Leipziger Patent-Einbanddecken-Fabrik Adolf Bube;[]
2096;Leipziger Zeitung;['111151142X', '1051040744']
2097;Löbl & Wiener;[]
2098;Erwin Löffler Nachf.;[]
2099;Ch. Lorilleux & Co., Commandit-Gesellschaft auf Actien;[]
2100;Friedrich Maack;[]
2101;Malke & Schaaf;[]
2102;Malke & Schaaf;[]
2103;Robert Maennel;[]
2104;Wilhelm Mauke;['1072938626']
2105;Walter Morgenstern;[]
2106;Emil Mosig;[]
2107;J. Mößner;[]
2108;F. G. Mylius;[]
2109;F. G. Mylius;[]
2110;Albert Osterwald;[]
2111;Albert Osterwald;[]
2112;Heinrich Pagel;[]
2113;Dr. Iwan Parlapanoff;['1073001601']
2114;Karl Peter Nachf.;[]
2115;Karl Peter Nachf.;[]
2116;Kurt Petsch & Co., G.m.b.H.;[]
2117;Georg Petzoldt Nachf.;[]
2118;Georg Petzoldt Nachf.;[]
2119;Otto Pietrzick;[]
2120;Theodor Plenge;[]
2121;Max Plesse;[]
2122;Max Plesse;[]
2123;Armin Quehl;[]
2124;Armin Quehl;[]
2125;Räncker & Günther;[]
2126;Regel & Krug;[]
2127;Regel & Krug;[]
2128;Georg Ress;[]
2129;Rohrer & Klingner;[]
2130;Hermann Roßberger;[]
2131;Sächsische Reklame-Gesellschaft C. Koch & Co.;[]
2132;Saski'sche Zeitschrift für das Versicherungswesen, C. Saski;[]
2133;Hermann Scheibe;['1073062678']
2134;Karl Scheithauer's Verlag;[]
2135;August Scherl G.m.b.H.;[]
2136;Schindler & Teuchert;[]
2137;Hermann Schmidt, Verlag des Versicherungs-Sachverständigen im Dienste der Versicherten;[]
2138;"Verlag der ""Unfallversicherungs-Praxis"" H. Schmidt";[]
2139;Heinrich Otto Schmiel;[]
2140;Steiß & Freitag;[]
2141;Emil Trachbrodt Verlag;[]
2142;Trinks & Co.;[]
2143;Trinks & Co.;[]
2144;Verlag der Handels-Akademie, Friedrich Mester;[]
2145;Verlag der Werkstatt für neue deutsche Wortkunst Joahhes Weidenmüller;[]
2146;Verlag des geschäftskundigen Kaufmanns in der Genußmittelbranche G.m.b.H.;[]
2147;Verlag des Officiellen Hotel-Adreßbuchs u. Reiseführers des Reichsverbandes Deutscher Gastwirtsverbände G.m.b.H.;[]
2148;Bruno Volger, Verlagsbuchhandlung;[]
2149;Volger, Eduard;[]
2150;Theodor Wachs;[]
2151;Wanderer-Verlag, G.m.b.H.;[]
2152;Welt-Adressen-Verlag Emil Reiß;['16053099-4']
2153;Welt-Adressen-Verlag Emil Reiß;['16053099-4']
2154;Arthur Wendler;[]
2155;G. R. Wendler;[]
2156;David Häring;[]
2157;Winklers Papierhandlung;[]
2158;Oscar Sperling;['1072960478', '1072883740']
2159;Oscar Sperling;['1072960478', '1072883740']
2160;Oscar Sperling;['1072960478', '1072883740']
2161;Hans Wunder G.m.b.H.;[]
2162;Zangenberg & Himly's Journalistikum;[]
2163;E. M. Behrens;[]
2164;Paul Brack;[]
2165;C. A. Faber;[]
2166;Hugo Fülle;[]
2167;Alfred Funk;[]
2168;Otto Beißert;[]
2169;M. Hein's Nachf.;[]
2170;F. W. Haschke;[]
